country,year,NY.GDP.MKTP.KD,ST.INT.RCPT.CD,ST.INT.ARVL,SP.POP.TOTL,SL.UEM.TOTL.ZS,NE.GDI.TOTL.ZS,NE.TRD.GNFS.ZS,FP.CPI.TOTL.ZG,PA.NUS.FCRF,IS.AIR.PSGR
Albania,2023,14951625324.0189,,,2745972,10.108,22.9107217576367,82.4936825596994,4.75976421930108,100.645,
Albania,2022,14385329993.5341,,,2777689,10.137,26.9055628314758,84.6980571024438,6.72520271530052,113.041666666667,
Albania,2021,13722964212.462,,,2811666,11.474,28.79440672883,75.5903217283122,2.04147163139547,103.52,193259.0
Albania,2020,12593390460.142,1243000000.0,2658000.0,2837849,11.69,26.2183527297829,59.5207118897718,1.62088661717011,108.65,124714.0
Albania,2019,13025007474.8895,2458000000.0,6406000.0,2854191,11.466,25.2875256073276,75.382128932689,1.41109078954247,109.850833333333,307741.0
Albania,2018,12761785703.1071,2306000000.0,5927000.0,2866376,12.304,27.1252994132038,75.6940783717425,2.02805963071135,107.989166666667,303137.0
Albania,2017,12309839868.7084,2050000000.0,5118000.0,2873457,13.616,27.657593194662,76.7873817898989,1.98666133171195,119.1,204090.0
Albania,2016,11918533446.9749,1821000000.0,4736000.0,2876101,15.418,26.814346013014,74.0144504546815,1.27543168367414,124.1425,26634.0
Albania,2015,11470171826.9575,1613000000.0,4131000.0,2880703,17.193,27.8134648405134,71.2794476606014,1.89617402592365,125.961666666667,
Albania,2014,11220218560.8998,1849000000.0,3673000.0,2889104,18.055,28.3047822758213,75.0212023084129,1.62586504402611,105.48,151632.0
Albania,2013,10974367815.094,1670000000.0,3256000.0,2895092,15.866,29.0566378899977,75.7506185619748,1.93762080205226,105.669166666667,865848.0
Albania,2012,10790155229.5092,1623000000.0,3514000.0,2900401,13.376,29.7150278852687,76.9683583166821,2.03159268395297,108.184166666667,814339.730278696
Albania,2011,10685000942.5337,1833000000.0,2932000.0,2905195,13.481,33.8376091539876,80.6989985298954,3.42912324722166,100.895833333333,829778.923870707
Albania,2010,10428102872.2706,1778000000.0,2417000.0,2913021,14.086,32.4926226328977,75.5325329687378,3.62604695579816,103.936666666667,768533.0
Albania,2009,10127011190.7491,2013000000.0,1856000.0,2927519,13.674,32.4404588015772,73.3213575646169,2.2669220945083,94.9781198203843,231263.0
Albania,2008,9861658465.33864,1850000000.0,1420000.0,2947314,13.06,33.3056707670518,75.2485472798728,3.32087090389265,83.8946041005291,243691.0
Albania,2007,9224515436.60112,1479000000.0,1127000.0,2970017,15.966,35.6688758642439,79.9119008919954,,90.4278938310708,238913.0
Albania,2006,8661509309.89701,1057000000.0,937000.0,2992547,15.626,37.3389564722485,72.2019089483674,,98.1033770912698,213315.0
Albania,2005,8169772250.74253,880000000.0,748000.0,3011487,15.966,38.3843892451909,69.1162926602322,,99.8702544808992,195702.0
Albania,2004,7771053341.65332,756000000.0,645000.0,3026939,16.306,36.3319472329288,65.0379383187697,,102.780051196172,179543.0
Albania,2003,7382282996.75923,537000000.0,557000.0,3039616,16.985,36.7221284326025,64.8232150960777,,121.86325,158888.0
Albania,2002,7008501111.79519,492000000.0,470000.0,3051010,17.891,38.5753358181086,65.9914650336802,,140.154515875,137569.0
Albania,2001,6698469429.12028,451000000.0,354000.0,3060173,18.57,38.2280453184166,64.2474462587009,,143.484833333333,146273.0
Albania,2000,6153077235.62289,398000000.0,317000.0,3089027,19.023,34.0401392244169,61.6092610436407,,143.709416666667,136622.0
Austria,2023,423156280851.067,,,9131761,5.264,25.4080151070422,116.813919411879,7.81413417002833,0.924839558470698,
Austria,2022,427236226728.298,,,9041851,4.992,29.226770327444,124.38345148483,8.54686993188449,0.949623753156941,
Austria,2021,405817601897.046,,,8955797,6.459,27.6732436856584,111.032268737901,2.7666666666667,0.84549413889045,18901048.0
Austria,2020,387247796560.501,15362000000.0,15091000.0,8916864,5.201,25.6530737541266,99.9482141095975,1.38191063351859,0.875506396987998,13285414.0
Austria,2019,413365268699.049,25924000000.0,31884000.0,8879920,4.56,25.5090080970816,108.207284904426,1.53089564152644,0.893276257067409,46476602.0
Austria,2018,406235924915.185,25413000000.0,30816000.0,8840521,4.933,25.8982762235252,108.377969971828,1.99837981429547,0.846772667108111,12935505.0
Austria,2017,396388751744.592,22424000000.0,29460000.0,8797566,5.561,24.9780618382281,105.556066755438,2.08126911385585,0.885205508269372,16171640.0
Austria,2016,387581921834.297,20965000000.0,28121000.0,8736668,6.064,24.4571707244108,101.573494597172,0.891591752655315,0.903421436257263,14724774.0
Austria,2015,379546097300.633,20422000000.0,26728000.0,8642699,5.802,24.012126686949,103.11758174626,0.896563335260335,0.901296423367096,14718641.0
Austria,2014,374662287024.534,,25291000.0,8546356,5.674,23.848669034824,104.49673998926,1.60581182954475,0.752728196932603,15210489.0
Austria,2013,371851835129.742,,24813000.0,8479823,5.367,23.9413047862951,104.985374015367,2.00015616900599,0.752945122701996,15037454.0
Austria,2012,372786509411.403,,24151000.0,8429991,4.909,24.2558827220405,105.840791389706,2.48567562177015,0.778338120416812,14518841.0529716
Austria,2011,370459113959.145,,23012000.0,8391643,4.637,24.3521600435893,105.775098372378,3.28657914875377,0.718413898653317,14088251.6640568
Austria,2010,359922497999.326,,22004000.0,8363404,4.883,22.8592812354211,99.6448825546716,1.81353438995062,0.754308990105961,13493793.0
Austria,2009,353527252121.64,,21355000.0,8343323,5.371,23.0148012049122,87.6004931021953,0.506308827696515,0.716957702016136,8520740.0
Austria,2008,366677269701.416,,21935000.0,8321496,4.198,24.7047623915806,102.7437043613,3.21595033239886,0.679922680042729,9140680.0
Austria,2007,361424664731.668,,20773000.0,8295487,4.909,24.7335259294195,101.36495843546,2.1685552880075,0.729672399984083,9140909.0
Austria,2006,348276446349.075,,20269000.0,8268641,5.32,23.8292704822076,98.7857253161241,1.44154851119019,0.796432730949102,8785116.0
Austria,2005,337250591306.488,18471000000.0,19952000.0,8227829,5.682,23.9653234755669,94.6747547827805,2.29913785639286,0.803800192161442,8037890.0
Austria,2004,329602607297.434,17251000000.0,19374000.0,8171966,5.969,24.2036725711211,91.4742201880009,2.06120618032862,0.803921647747618,7619372.0
Austria,2003,321358930178.288,15128000000.0,19078000.0,8121423,4.779,24.4562050749722,86.8822263228608,1.35555370896452,0.88404792718493,6902780.0
Austria,2002,317731814841.85,12334000000.0,18611000.0,8081957,4.852,23.7779667439374,87.5844937054619,1.81035787764127,1.05755899623965,7070344.0
Austria,2001,313084486481.847,11511000000.0,18180000.0,8042293,4.007,25.4261245518381,87.9962567186047,2.65000077279529,1.11653308564462,6550376.0
Austria,2000,309014800203.266,11382000000.0,17982000.0,8011566,4.687,25.9400787116929,85.8426077336549,2.34486285357281,1.08270508132602,6641875.0
Belgium,2023,527159436181.933,,,11787423,5.528,25.3621964476176,168.961009401668,4.04901077613945,0.924839558470698,
Belgium,2022,520899825783.061,,,11680210,5.57,26.9253632848776,191.939444094087,9.59751172872501,0.949623753156941,
Belgium,2021,499619240040.636,,,11586195,6.248,24.4420085715325,177.381892440073,2.44024851144083,0.84549413889045,5404284.479
Belgium,2020,470417598101.755,7447000000.0,2584000.0,11538604,5.545,24.068567845367,156.950121282783,0.740791812220353,0.875506396987998,3520849.848
Belgium,2019,494099718080.569,10581000000.0,9343000.0,11488980,5.364,24.6756822316808,165.46547893199,1.4368195699643,0.893276257067409,14279187.0
Belgium,2018,482317238282.145,10319000000.0,9119000.0,11427054,5.941,25.5515767637203,168.277692877218,2.05316499865184,0.846772667108111,13639487.0
Belgium,2017,473426439010.72,9636000000.0,8385000.0,11375158,7.09,24.3318331321638,166.904078237791,2.12597086002608,0.885205508269372,13676844.0
Belgium,2016,466547349432.055,8784000000.0,7481000.0,11331422,7.83,24.1815766017974,159.057696611945,1.97385264653175,0.903421436257263,12545322.0
Belgium,2015,461044767544.531,8975000000.0,8355000.0,11274196,8.482,23.3223676294346,155.068682045926,0.561429152790087,0.901296423367096,11473055.0
Belgium,2014,454346946885.841,15249000000.0,7887000.0,11209057,8.523,23.2582959776352,158.571610953523,0.340002833356965,0.752728196932603,10535219.0
Belgium,2013,446464436962.24,14534000000.0,7684000.0,11159407,8.425,22.7089453730117,157.573622782434,1.11309594027539,0.752945122701996,9521421.0
Belgium,2012,445104666468.521,13704000000.0,7560000.0,11106932,7.542,23.5882360674433,160.383301425059,2.83966343445896,0.778338120416812,9508165.31494536
Belgium,2011,444146182962.729,14114000000.0,7494000.0,11038264,7.14,24.4795580355563,160.765516888126,3.53208210722743,0.718413898653317,8638553.1
Belgium,2010,435731531598.616,12680000000.0,7186000.0,10895586,8.293,22.3942744569467,150.162563621427,2.18929920422458,0.754308990105961,7528586.30424955
Belgium,2009,424233482718.834,12718000000.0,6815000.0,10796493,7.908,22.0264057475968,135.13840572229,-0.0531456741253725,0.716957702016136,4858700.0
Belgium,2008,432478429044.827,,7165000.0,10709973,6.976,25.9367703303917,161.088447790447,4.48944420508402,0.679922680042729,5878585.0
Belgium,2007,430554259966.472,12369000000.0,7045000.0,10625700,7.459,24.6032741505197,152.468446875303,1.82305630026808,0.729672399984083,4078094.0
Belgium,2006,415284559725.448,11625000000.0,6995000.0,10547958,8.246,23.9705491132595,149.567509299511,1.79120770070459,0.796432730949102,3641155.0
Belgium,2005,404948883847.345,10881000000.0,6747000.0,10478617,8.44,23.6810632000764,144.529050669983,2.78143263670022,0.803800192161442,3340509.0
Belgium,2004,395760365336.901,10089000000.0,6710000.0,10421137,7.363,22.6670601715452,136.918405348432,2.09728311239315,0.803921647747618,3264582.0
Belgium,2003,382114274683.528,8848000000.0,6690000.0,10376133,7.68,20.9647077064668,132.715552833888,1.58896399970379,0.88404792718493,2904114.0
Belgium,2002,378188843981.109,7598000000.0,6720000.0,10332785,6.91,20.7474019774138,136.085149488081,1.64521436175358,1.05755899623965,2341816.0
Belgium,2001,371841895842.954,8304000000.0,6452000.0,10286570,6.178,22.6338254993949,139.576839834619,2.46925823086077,1.11653308564462,8489007.0
Belgium,2000,367797580320.048,,6457000.0,10251250,6.586,23.7829613022103,142.230135067034,2.54451776190909,1.08270508132602,10738119.0
Bulgaria,2023,63245418926.902,,,6446596,4.319,19.749565552763,119.668120344213,9.44284140088566,1.80896666666667,
Bulgaria,2022,62074193826.5485,,,6465097,4.268,22.6868124930814,138.84014681798,15.3252589264367,1.86014166666667,
Bulgaria,2021,59664478253.8097,,,6507301,5.267,20.6962006537931,121.157354617771,3.29774435299508,1.653775,41126.0
Bulgaria,2020,55357337083.979,1792000000.0,4973000.0,6550696,5.125,20.1337042876266,110.324081132354,1.67244096855763,1.71633333333333,443067.0
Bulgaria,2019,57196630543.6142,4832000000.0,12552000.0,6616726,4.23,20.6958565853763,125.029963140694,3.10372944796774,1.74704166666667,832828.0
Bulgaria,2018,55108646393.7011,5061000000.0,12368000.0,6710798,5.211,21.1168434390686,128.865565279241,2.8145447382483,1.65704166666667,1022645.0
Bulgaria,2017,53738599947.3683,4663000000.0,11596000.0,6803468,6.164,19.8169984706422,129.634429048004,2.06159619443141,1.73545833333333,1133069.0
Bulgaria,2016,52302414125.4377,4148000000.0,10604000.0,6894139,7.575,18.9624324900328,122.805514356513,-0.798649886453677,1.76804166666667,1092333.0
Bulgaria,2015,50765918159.1476,3568000000.0,9317000.0,6984225,9.143,20.9999295980527,126.73664221295,-0.104633261008384,1.7644,1063498.0
Bulgaria,2014,49097794444.0662,4518000000.0,9409000.0,7073572,11.424,21.5078339407257,130.248377115245,-1.41818380264845,1.47418333333333,1060147.0
Bulgaria,2013,48636020243.4761,4410000000.0,9192000.0,7160005,12.941,21.0060108987805,129.688682986482,0.890093540913077,1.47356666666667,1013220.0
Bulgaria,2012,48901433558.017,3975000000.0,8867000.0,7305888,12.27,21.8870849869755,123.971322714174,2.95456829831017,1.52205,973062.0
Bulgaria,2011,48537973978.2645,4297000000.0,8713000.0,7348328,11.26,21.3581829600151,117.41810388629,4.21990346601874,1.40645833333333,932868.0
Bulgaria,2010,47544216522.1298,3807000000.0,8374000.0,7395599,10.279,22.5179685624585,103.380522321192,2.43899060504113,1.47739166666667,801840.0
Bulgaria,2009,46816058446.5322,4273000000.0,7873000.0,7444443,6.817,28.5382207093012,92.6926456036375,2.75320223914816,1.40669166666667,798165.0
Bulgaria,2008,48437324160.5999,4852000000.0,8533000.0,7492561,5.609,36.9245389748046,124.688747515359,12.3487195994021,1.33711666666667,1073496.0
Bulgaria,2007,45639805449.7998,4181000000.0,7726000.0,7545338,6.878,33.6062336623614,123.532557660753,8.40253419005901,1.42905,855229.0
